"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-31,2026-09-10,"Ongoing | Existing | Sales | Hi-Vis Only | Advantage+ | SH Ad Set",active,13,actions:offsite_conversion.fb_pixel_purchase,69.52846154,"Using campaign budget",0,903.87,16834,7108,2.368317,53.693121,Ongoing,2025-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:29+0100,7.911713,13,7151.16,action_values:offsite_conversion.fb_pixel_purchase,242,1.437567,3.449886,251,228,38,12,1
2026-08-31,2026-09-10,"Ongoing | Prospecting | Sales | Hi-Vis Only | Advantage+ | SH Ad Set",active,16,actions:offsite_conversion.fb_pixel_purchase,148.3425,"Using campaign budget",0,2373.48,56455,22564,2.501994,42.04198,Ongoing,2025-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:29+0100,3.899944,16,9256.44,action_values:offsite_conversion.fb_pixel_purchase,1247,2.208839,1.713704,1279,1142,76,42,3
2026-08-31,2026-09-10,"Ongoing | Existing | Sales | Protex1 | Advantage+ | SH Ad Set",active,10,actions:offsite_conversion.fb_pixel_purchase,97.744,"Using campaign budget",0,977.44,19473,10258,1.898323,50.194628,Ongoing,2025-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:30+0100,6.952836,10,6795.98,action_values:offsite_conversion.fb_pixel_purchase,283,1.453294,2.841395,287,257,18,9,
2026-08-31,2026-09-10,"Ongoing | Prospecting | Sales | Protex1 | Advantage+ | SH Ad Set",active,19,actions:offsite_conversion.fb_pixel_purchase,130.35157895,"Using campaign budget",0,2476.68,63910,29884,2.138603,38.752621,Ongoing,2025-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:45:16+0100,3.859457,19,9558.64,action_values:offsite_conversion.fb_pixel_purchase,1041,1.628853,1.896386,1071,949,90,32,
2026-08-31,2026-09-10,"Prospecting | Creatives",active,4,actions:offsite_conversion.fb_pixel_purchase,167.75,"Using campaign budget",0,671,9624,4661,2.064793,69.72153,Ongoing,2026-04-08,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,3.339747,4,2240.97,action_values:offsite_conversion.fb_pixel_purchase,265,2.753533,2.083851,271,254,12,5,
2026-08-31,2026-09-10,"DPA | Creative Adset",active,15,actions:offsite_conversion.fb_pixel_purchase,124.372,"Using campaign budget",0,1865.58,36945,8829,4.184506,50.496143,Ongoing,2026-04-09,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,3.420443,15,6381.11,action_values:offsite_conversion.fb_pixel_purchase,963,2.606577,1.83801,1051,877,80,27,14
2026-08-31,2026-09-10,"Prospecting | Main Catalog DPA",active,21,actions:offsite_conversion.fb_pixel_purchase,149.79904762,"Using campaign budget",0,3145.78,57202,23974,2.386002,54.994231,Ongoing,2026-05-08,"7-day click",0,ABSOLUTE_OCPM,2026-08-14T15:28:10+0100,3.341702,21,10512.26,action_values:offsite_conversion.fb_pixel_purchase,1456,2.545366,1.727501,1498,1314,111,29,2
2026-08-31,2026-09-10,"Prospecting | Creatives",active,128130,reach,9.79138375,"Using campaign budget",0,1254.57,196115,128130,1.530594,6.397114,Ongoing,2026-05-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,,,,,107,0.05456,8.25375,1245,63,,,91
2026-08-31,2026-09-10,"Prospecting | Summer Catalog DPA",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,2026-05-28,"7-day click",0,ABSOLUTE_OCPM,2026-08-14T15:28:20+0100,,,,,,,0,,,,,
2026-08-31,2026-09-10,"DPA | Entire Catalouge",active,17,actions:offsite_conversion.fb_pixel_purchase,103.32352941,"Using campaign budget",0,1756.5,37990,8845,4.295082,46.235852,Ongoing,2026-05-28,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:06:05+0100,3.924025,17,6892.55,action_values:offsite_conversion.fb_pixel_purchase,827,2.176889,1.812694,848,754,73,16,3
2026-08-31,2026-09-10,"Prospecting | Video Creatives",active,2,actions:offsite_conversion.fb_pixel_purchase,79.405,"Using campaign budget",0,158.81,1980,1175,1.685106,80.207071,Ongoing,2026-07-01,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,3.390152,2,538.39,action_values:offsite_conversion.fb_pixel_purchase,62,3.131313,1.784382,526,49,4,3,150
2026-08-31,2026-09-10,"Prospecting | Video Creatives",active,97038,reach,7.47202127,"Using campaign budget",0,725.07,129031,97038,1.329696,5.619347,Ongoing,2026-07-01,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,,,,,120,0.093001,5.000483,126,65,1,,
2026-08-31,2026-09-10,"Sales Existing | Trousers | DPA Ad Set",inactive,2,actions:offsite_conversion.fb_pixel_purchase,350.435,"Using campaign budget",0,700.87,15275,8549,1.786759,45.88347,Ongoing,2026-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T13:12:36+0100,1.503046,2,1053.44,action_values:offsite_conversion.fb_pixel_purchase,179,1.171849,2.792311,183,147,8,1,
2026-08-31,2026-09-10,"Sales Prospecting | Trousers | DPA Ad Set – Copy",active,10,actions:offsite_conversion.fb_pixel_purchase,85.031,"Using campaign budget",0,850.31,18335,7594,2.414406,46.376329,Ongoing,2026-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T13:12:42+0100,5.479449,10,4659.23,action_values:offsite_conversion.fb_pixel_purchase,279,1.52168,2.09436,283,251,32,13,
2026-08-31,2026-09-10,"Sales Existing | SB | DPA Ad Set",active,15,actions:offsite_conversion.fb_pixel_purchase,69.70533333,"Using campaign budget",0,1045.58,22073,10624,2.077654,47.369184,Ongoing,2026-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,11.32998,15,11846.4,action_values:offsite_conversion.fb_pixel_purchase,341,1.544874,2.537816,349,302,44,12,
2026-08-31,2026-09-10,"Sales Prospecting | SB | DPA Ad Set",active,22,actions:offsite_conversion.fb_pixel_purchase,47.49909091,"Using campaign budget",0,1044.98,26264,13085,2.007184,39.787542,Ongoing,2026-08-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,20.835049,22,21772.21,action_values:offsite_conversion.fb_pixel_purchase,407,1.54965,1.903424,445,338,58,19,14
