"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-31,2026-09-10,"Sales Advantage+ SH - Hi-Vis",active,13,actions:offsite_conversion.fb_pixel_purchase,68.70615385,"Using campaign budget",0,893.18,16764,7086,2.365792,53.279647,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:29+0100,Average,"Above average","Above average","Ongoing | Existing | Sales | Hi-Vis Only | Advantage+ | SH Ad Set",8.006404,13,7151.16,action_values:offsite_conversion.fb_pixel_purchase,239,1.425674,3.461938,248,225,38,12,1
2026-08-31,2026-09-10,"Sales Advantage+ SH - Hi-Vis",active,12,actions:offsite_conversion.fb_pixel_purchase,149.605,"Using campaign budget",0,1795.26,41764,18484,2.259468,42.985825,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:29+0100,Average,"Above average","Above average","Ongoing | Prospecting | Sales | Hi-Vis Only | Advantage+ | SH Ad Set",3.270819,12,5871.97,action_values:offsite_conversion.fb_pixel_purchase,987,2.363279,1.647028,1014,873,52,32,3
2026-08-31,2026-09-10,"Static | Hi-Vis",active,4,actions:offsite_conversion.fb_pixel_purchase,144.555,"Using campaign budget",0,578.22,14691,7656,1.918887,39.358791,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:29+0100,-,-,-,"Ongoing | Prospecting | Sales | Hi-Vis Only | Advantage+ | SH Ad Set",5.853257,4,3384.47,action_values:offsite_conversion.fb_pixel_purchase,260,1.769791,1.960068,265,269,24,10,
2026-08-31,2026-09-10,"Static | Existing | Hi-Vis",active,,,,"Using campaign budget",0,10.69,70,57,1.22807,152.714286,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:29+0100,-,-,-,"Ongoing | Existing | Sales | Hi-Vis Only | Advantage+ | SH Ad Set",,,,,3,4.285714,2.6725,3,3,,,
2026-08-31,2026-09-10,"Static | Existing | Protex1",active,,,,"Using campaign budget",0,3.71,59,56,1.053571,62.881356,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:30+0100,-,-,-,"Ongoing | Existing | Sales | Protex1 | Advantage+ | SH Ad Set",,,,,1,1.694915,1.855,1,1,,,
2026-08-31,2026-09-10,"Sales Advantage+ SH - Protex1",active,10,actions:offsite_conversion.fb_pixel_purchase,97.373,"Using campaign budget",0,973.73,19414,10258,1.892572,50.156073,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:36:30+0100,Average,"Above average",Average,"Ongoing | Existing | Sales | Protex1 | Advantage+ | SH Ad Set",6.979327,10,6795.98,action_values:offsite_conversion.fb_pixel_purchase,282,1.45256,2.847164,286,256,18,9,
2026-08-31,2026-09-10,"Static | Existing | Protex1 – Copy",active,,,,"Using campaign budget",0,4.14,69,57,1.210526,60,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:45:16+0100,-,-,-,"Ongoing | Prospecting | Sales | Protex1 | Advantage+ | SH Ad Set",,,,,2,2.898551,4.14,2,2,,,
2026-08-31,2026-09-10,"Sales Advantage+ SH - Protex1 – Copy",active,19,actions:offsite_conversion.fb_pixel_purchase,130.13368421,"Using campaign budget",0,2472.54,63841,29865,2.137653,38.729656,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-07T22:45:16+0100,Average,"Above average","Above average","Ongoing | Prospecting | Sales | Protex1 | Advantage+ | SH Ad Set",3.865919,19,9558.64,action_values:offsite_conversion.fb_pixel_purchase,1039,1.627481,1.894667,1069,947,90,32,
2026-08-31,2026-09-10,"Jacket | Video 2 – Copy",active,,,,"Using campaign budget",0,1.49,26,23,1.130435,57.307692,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,8,,,,6
2026-08-31,2026-09-10,"Hi Vis | Affordability For Whole Crew – Copy",active,,,,"Using campaign budget",0,5.9,64,57,1.122807,92.1875,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,2,,,,1
2026-08-31,2026-09-10,"Boot | By midday – Copy",active,,,,"Using campaign budget",0,1.83,20,20,1,91.5,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,1.83,6,,,,1
2026-08-31,2026-09-10,"Boot | After safety – Copy",active,,,,"Using campaign budget",0,1.25,23,23,1,54.347826,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,4,,,,1
2026-08-31,2026-09-10,"Jacket | Video 1 – Copy",active,,,,"Using campaign budget",0,0.38,2,2,1,190,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-31,2026-09-10,"Trousers | Durable, functional – Copy",active,,,,"Using campaign budget",0,1.76,18,16,1.125,97.777778,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,1,5.555556,0.88,6,,,,
2026-08-31,2026-09-10,"Shirt | Breathable but fading – Copy",active,,,,"Using campaign budget",0,2.91,35,31,1.129032,83.142857,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,2,,,,
2026-08-31,2026-09-10,"Trousers | 100% cotton – Copy",active,,,,"Using campaign budget",0,1.37,24,23,1.043478,57.083333,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-31,2026-09-10,"Trousers | Worth having – Copy",active,,,,"Using campaign budget",0,0.66,10,9,1.111111,66,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Kit | Summer on site – Copy",active,,,,"Using campaign budget",0,0.65,15,15,1,43.333333,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,2,,,,
2026-08-31,2026-09-10,"Shirt | Shouldn't need – Copy",active,,,,"Using campaign budget",0,0.05,1,1,1,50,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Boot | Good kit shouldn't – Copy",active,,,,"Using campaign budget",0,0.13,3,3,1,43.333333,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Shorts | Waiting on manager – Copy",active,,,,"Using campaign budget",0,1.22,20,16,1.25,61,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,1,5,1.22,6,1,,,2
2026-08-31,2026-09-10,"Boot | Full day on site – Copy",active,,,,"Using campaign budget",0,0.58,12,12,1,48.333333,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,4,,,,1
2026-08-31,2026-09-10,"Shorts | Still waiting – Copy",active,,,,"Using campaign budget",0,0.64,7,6,1.166667,91.428571,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,4,,,,
2026-08-31,2026-09-10,"Trousers | Built for the job – Copy",active,,,,"Using campaign budget",0,0.36,7,5,1.4,51.428571,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,2,,,,1
2026-08-31,2026-09-10,"Kit | Liked the workwear – Copy",active,,,,"Using campaign budget",0,1.06,17,14,1.214286,62.352941,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,6,,,,1
2026-08-31,2026-09-10,"Boot | Good kit shouldn't",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Trousers | Tradie trousers",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Jacket | All year round",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Boot | Full day on site",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Video | UGC 1",active,,,,"Using campaign budget",0,2.35,27,23,1.173913,87.037037,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,2,7.407407,0.783333,10,1,,,3
2026-08-31,2026-09-10,"Video | UGC 2",active,,,,"Using campaign budget",0,7.91,99,89,1.11236,79.89899,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,7.91,19,,,,6
2026-08-31,2026-09-10,"Video | UGC 3",active,,,,"Using campaign budget",0,1.43,17,14,1.214286,84.117647,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,1,5.882353,1.43,5,1,,,1
2026-08-31,2026-09-10,"Video | UGC Grabbed These Veltuff Trousers",active,,,,"Using campaign budget",0,3.09,27,24,1.125,114.444444,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,3,11.111111,0.7725,13,2,,,6
2026-08-31,2026-09-10,"Video | UGC I tracked down",active,1,actions:offsite_conversion.fb_pixel_purchase,0.74,"Using campaign budget",0,0.74,8,7,1.142857,92.5,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",727.554054,1,538.39,action_values:offsite_conversion.fb_pixel_purchase,2,25,0.246667,6,1,2,3,2
2026-08-31,2026-09-10,"Video | UGC If you are constantly",active,,,,"Using campaign budget",0,0.87,12,10,1.2,72.5,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,2,,,,1
2026-08-31,2026-09-10,"Video | UGC Most people don't realise",active,,,,"Using campaign budget",0,0.84,12,11,1.090909,70,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,4,,,,
2026-08-31,2026-09-10,"Video | UGC If you're getting soaked",active,,,,"Using campaign budget",0,6.65,87,72,1.208333,76.436782,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,3,3.448276,1.6625,18,3,,,3
2026-08-31,2026-09-10,"Video | UGC Lets be honest",active,,,,"Using campaign budget",0,15.22,175,150,1.166667,86.971429,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,9,5.142857,1.522,51,8,,,16
2026-08-31,2026-09-10,"Boot | Proper support – Copy",active,,,,"Using campaign budget",0,11.6,132,115,1.147826,87.878788,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,4,3.030303,1.933333,9,3,,,1
2026-08-31,2026-09-10,"Jacket | Whatever the weather – Copy",active,,,,"Using campaign budget",0,0.73,8,8,1,91.25,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0.73,2,,,,
2026-08-31,2026-09-10,"Jacket | All year round – Copy",active,,,,"Using campaign budget",0,1.94,23,22,1.045455,84.347826,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,3,13.043478,0.388,9,2,,,2
2026-08-31,2026-09-10,"Shirt | For you – Copy",active,,,,"Using campaign budget",0,11.8,117,101,1.158416,100.854701,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,1,0.854701,5.9,20,,,,2
2026-08-31,2026-09-10,"Shorts | Waiting on manager – Copy",active,,,,"Using campaign budget",0,2.01,11,10,1.1,182.727273,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,2.01,5,,,,2
2026-08-31,2026-09-10,"Shorts | Too warm – Copy",active,,,,"Using campaign budget",0,1.06,13,12,1.083333,81.538462,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,6,,,,2
2026-08-31,2026-09-10,"Trousers | Tradie trousers – Copy",active,,,,"Using campaign budget",0,0.19,3,2,1.5,63.333333,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-31,2026-09-10,"Jacket | Weather cant make up its mind – Copy",active,1,actions:offsite_conversion.fb_pixel_purchase,56.4,"Using campaign budget",0,56.4,772,565,1.366372,73.056995,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,1,,,27,3.497409,1.446154,258,22,2,,79
2026-08-31,2026-09-10,"Shirt | Does the job all year round – Copy",active,,,,"Using campaign budget",0,0.8,18,16,1.125,44.444444,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,3,,,,1
2026-08-31,2026-09-10,"Jacket | British weather – Copy",active,,,,"Using campaign budget",0,10.78,112,99,1.131313,96.25,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,4,3.571429,2.695,30,4,,,8
2026-08-31,2026-09-10,"Shorts | Last month – Copy",active,,,,"Using campaign budget",0,0.15,2,2,1,75,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,1,50,0.15,2,1,,,1
2026-08-31,2026-09-10,"Shirt | Ticks every box – Copy",active,,,,"Using campaign budget",0,0.01,1,1,1,10,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
