"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-26,2026-09-01,"Kit | Liked the workwear – Copy",active,,,,"Using campaign budget",0,1.06,17,14,1.214286,62.352941,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,3,,,,
2026-08-26,2026-09-01,"Shirt | Ticks every box – Copy",active,,,,"Using campaign budget",0,0.76,7,6,1.166667,108.571429,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shirt | Ticks every box",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Jacket | Video 1",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shorts | Waiting on manager",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shirt | Does the job all year round",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shorts | Last month",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Static | Pros | SB",active,5,actions:offsite_conversion.fb_pixel_purchase,66.154,"Using campaign budget",0,330.77,7435,3608,2.060698,44.488231,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,Average,Average,Average,"Sales Prospecting | SB | DPA Ad Set",38.806905,5,12836.16,action_values:offsite_conversion.fb_pixel_purchase,124,1.667787,2.250136,184,104,15,7,32
2026-08-26,2026-09-01,"Trousers | Built for the job – Copy",active,,,,"Using campaign budget",0,0.16,2,2,1,80,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-26,2026-09-01,"Shorts | Last month – Copy",active,,,,"Using campaign budget",0,5.61,62,54,1.148148,90.483871,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,1,1.612903,5.61,19,1,,,2
2026-08-26,2026-09-01,"Shorts | Still waiting",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shirt | For you",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Organic | Stretch Work Trousers",active,45970,reach,8.2229715,"Using campaign budget",0,378.01,60835,45970,1.323363,6.213693,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,"Above average",-,-,"Prospecting | Video Creatives",,,,,50,0.08219,5.558971,58,28,1,,
2026-08-26,2026-09-01,"Trousers | Worth having",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shirt | Ticks every box",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Static | Pros | DPA SB",active,6,actions:offsite_conversion.fb_pixel_purchase,58.22833333,"Using campaign budget",0,349.37,8965,4928,1.819196,38.970441,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,Average,"Above average",Average,"Sales Prospecting | SB | DPA Ad Set",6.258265,6,2186.45,action_values:offsite_conversion.fb_pixel_purchase,142,1.583938,1.829162,144,101,16,11,
2026-08-26,2026-09-01,"Shorts | Still waiting – Copy",active,,,,"Using campaign budget",0,0.16,1,1,1,160,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Jacket | British weather – Copy",active,,,,"Using campaign budget",0,2.47,22,21,1.047619,112.272727,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,8,,,,1
2026-08-26,2026-09-01,"Kit | Summer on site",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"DPA | Summer Workwear",active,1,actions:offsite_conversion.fb_pixel_purchase,70.75,"Using campaign budget",0,70.75,1807,1073,1.684063,39.153293,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",5.557456,1,393.19,action_values:offsite_conversion.fb_pixel_purchase,20,1.106807,2.83,21,18,1,1,
2026-08-26,2026-09-01,"Shirt | Shouldn't need",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Jacket | Whatever the weather",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Boot | Good kit shouldn't",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Static | Existing | SB",active,5,actions:offsite_conversion.fb_pixel_purchase,87.55,"Using campaign budget",0,437.75,7351,3409,2.156351,59.549721,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,-,-,-,"Sales Existing | SB | DPA Ad Set",4.215146,5,1845.18,action_values:offsite_conversion.fb_pixel_purchase,130,1.768467,3.039931,136,127,33,4,
2026-08-26,2026-09-01,"Boot | Full day on site – Copy",active,,,,"Using campaign budget",0,0.02,1,1,1,20,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,1
2026-08-26,2026-09-01,"Shirt | Does the job all year round – Copy",active,,,,"Using campaign budget",0,1.17,14,13,1.076923,83.571429,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-26,2026-09-01,"Shirt | Shouldn't need",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"DPA | Entire Catalogue",active,10,actions:offsite_conversion.fb_pixel_purchase,76.454,"Using campaign budget",0,764.54,16409,5969,2.749037,46.592724,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:06:05+0100,"Above average",-,-,"DPA | Entire Catalouge",4.889659,10,3738.34,action_values:offsite_conversion.fb_pixel_purchase,343,2.090316,1.91135,357,305,46,9,3
2026-08-26,2026-09-01,"Shirt | Ticks every box",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Boot | Proper support",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Trousers | Tradie trousers",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Static | Existing | DPA SB",active,5,actions:offsite_conversion.fb_pixel_purchase,51.94,"Using campaign budget",0,259.7,7453,4528,1.645981,34.845029,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,-,-,-,"Sales Existing | SB | DPA Ad Set",11.315595,5,2938.66,action_values:offsite_conversion.fb_pixel_purchase,66,0.885549,2.67732,68,55,11,1,
2026-08-26,2026-09-01,"Shorts | Waiting on manager – Copy",active,,,,"Using campaign budget",0,0.46,9,8,1.125,51.111111,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-26,2026-09-01,"Jacket | Weather cant make up its mind – Copy",active,,,,"Using campaign budget",0,17.03,203,175,1.16,83.891626,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,10,4.926108,1.419167,71,7,,,17
2026-08-26,2026-09-01,"Jacket | British weather",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Protext1  | USP Breakdown",active,,,,"Using campaign budget",0,0.2,5,4,1.25,40,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Jacket | All year round",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Boot | After safety",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Jacket | All year round",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Static | Pros | Trousers",active,2,actions:offsite_conversion.fb_pixel_purchase,65.535,"Using campaign budget",0,131.07,2971,1422,2.089311,44.116459,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T13:12:42+0100,-,-,-,"Sales Prospecting | Trousers | DPA Ad Set – Copy",5.46128,2,715.81,action_values:offsite_conversion.fb_pixel_purchase,45,1.514642,2.730625,45,37,7,2,
2026-08-26,2026-09-01,"Boot | Good kit shouldn't – Copy",active,,,,"Using campaign budget",0,0.24,3,3,1,80,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,1
2026-08-26,2026-09-01,"Trousers | Tradie trousers – Copy",active,,,,"Using campaign budget",0,0.36,5,5,1,72,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-26,2026-09-01,"Jacket | Weather cant make up its mind",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"DPA | Protex1 Range",active,,,,"Using campaign budget",0,2.14,49,45,1.088889,43.673469,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shorts | Still waiting",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shirt | Shouldn't need",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Boot | Full day on site",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Static | Pros | DPA Trousers",active,5,actions:offsite_conversion.fb_pixel_purchase,94.764,"Using campaign budget",0,473.82,9795,4520,2.167035,48.37366,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T13:12:42+0100,Average,"Above average","Above average","Sales Prospecting | Trousers | DPA Ad Set – Copy",5.004432,5,2371.2,action_values:offsite_conversion.fb_pixel_purchase,194,1.980602,1.606169,196,170,10,11,
2026-08-26,2026-09-01,"Shirt | Shouldn't need – Copy",active,,,,"Using campaign budget",0,0.14,2,2,1,70,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0.14,2,,,,1
2026-08-26,2026-09-01,"Shorts | Too warm – Copy",active,,,,"Using campaign budget",0,1.14,7,7,1,162.857143,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-26,2026-09-01,"Shorts | Too warm",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"DPA | HiVis | Broad",active,,,,"Using campaign budget",0,3.5,51,42,1.214286,68.627451,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T12:05:59+0100,-,-,-,"DPA | Creative Adset",,,,,1,1.960784,3.5,2,1,,,
2026-08-26,2026-09-01,"Shorts | Last month",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"Shorts | Waiting on manager",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-26,2026-09-01,"His Vis  | Workwear For The Crew",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
