"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-24,2026-08-30,"Kit | Liked the workwear – Copy",active,,,,"Using campaign budget",0,0.23,5,4,1.25,46,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shirt | For you – Copy",active,,,,"Using campaign budget",0,4.33,36,35,1.028571,120.277778,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,2,5.555556,1.443333,13,2,,,4
2026-08-24,2026-08-30,"Kit | Liked the workwear",inactive,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:37:47+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Jacket | Video 1",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Jacket | Weather cant make up its mind",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Prospecting | Video Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Shirt | For you",not_delivering,,,,"Using campaign budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T11:39:53+0100,-,-,-,"Prospecting | Creatives",,,,,,,0,,,,,
2026-08-24,2026-08-30,"Static | Pros | Trousers",active,2,actions:offsite_conversion.fb_pixel_purchase,106.59,"Using campaign budget",0,213.18,4896,2225,2.200449,43.541667,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-20T13:12:42+0100,Average,Average,"Above average","Sales Prospecting | Trousers | DPA Ad Set – Copy",3.357773,2,715.81,action_values:offsite_conversion.fb_pixel_purchase,65,1.327614,2.960833,66,54,21,2,
2026-08-24,2026-08-30,"Static | Pros | SB",active,6,actions:offsite_conversion.fb_pixel_purchase,67.22833333,"Using campaign budget",0,403.37,8928,4210,2.120665,45.180332,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-08-28T11:34:41+0100,-,-,-,"Sales Prospecting | SB | DPA Ad Set",13.228078,6,5335.81,action_values:offsite_conversion.fb_pixel_purchase,126,1.41129,2.65375,189,101,23,6,35
2026-08-24,2026-08-30,"Trousers | Built for the job – Copy",active,,,,"Using campaign budget",0,0.27,4,4,1,67.5,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,,,0,1,,,,
2026-08-24,2026-08-30,"Jacket | All year round – Copy",active,,,,"Using campaign budget",0,18.06,224,197,1.137056,80.625,Ongoing,"7-day click",0,ABSOLUTE_OCPM,2026-08-20T03:59:47+0100,-,-,-,"Prospecting | Video Creatives",,,,,4,1.785714,3.612,57,4,,,16
