"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-11,2026-08-16,"Website Retargeting - 2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"1-day click",,,,,,,0,,,,,
2026-08-11,2026-08-16,"AS - RMKT - DEC 2022",inactive,,,,50,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"AS - Prospecting Campaign Dec2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"AS - Prospecting Campaign JAN2023 - SALE - Copy",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"17/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"23/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"28/3 Veltuff - Broad - custom - UK RM",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"11/4 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"3/5 Veltuff - Prospecting Campaign - Sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"8/5 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"12/5 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"19/6 2023 - Sales collection video",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"23/6 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"11/7 2023 - Sales campaign Women - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"19/7 2023 - MPA RM campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"11/10 2023 - Advantage+ shopping campaign Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"4/12 2023 - Safety Shoe Sale  Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"Ongoing | Prospecting | Sales | Broad | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"4/1 2024 - RM - UK Campaign",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-08-16,"5/6 Michelle Job add - KAM Jylland",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-16,"AS 7/1 25 - Purchase - Flexible ad Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
