"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-11,2026-09-09,"Website Retargeting - 2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"1-day click",,,,,,,0,,,,,
2026-08-11,2026-09-09,"AS - RMKT - DEC 2022",inactive,,,,50,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"AS - Prospecting Campaign Dec2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"17/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"23/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"28/3 Veltuff - Broad - custom - UK RM",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"11/4 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"11/7 2023 - Sales campaign Women - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"19/7 2023 - MPA RM campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"Ongoing | Prospecting | Sales | Broad | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"AS 7/1 25 - Purchase - Flexible ad Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"Ongoing | Retargeting | Sales | Dynamic Abandoned Cart - 30 Days | SH",inactive,,,,6.5,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-09-09,"Customised Workwear | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,87,actions:offsite_conversion.fb_pixel_purchase,127.03022989,300,Daily,11051.63,281022,75909,3.702091,39.326565,Ongoing,"7-day click or 1-day view",4.091443,87,45217.11,action_values:offsite_conversion.fb_pixel_purchase,4752,1.690971,2.042815,5231,4331,320,130,50
2026-08-11,2026-09-09,"Ongoing | Sales | ProTex1 | Advantage+ | SH",active,56,actions:offsite_conversion.fb_pixel_purchase,129.78035714,327,Daily,7267.7,180245,64659,2.787624,40.321229,Ongoing,"7-day click or 1-day view",5.207727,56,37848.2,action_values:offsite_conversion.fb_pixel_purchase,3010,1.669949,1.960005,3091,2821,238,72,
2026-08-11,2026-09-09,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-09-09,"VD | Broad | Prospecting | Sales",active,111,actions:offsite_conversion.fb_pixel_purchase,153.40594595,370,Daily,17028.06,317852,78299,4.059464,53.572292,Ongoing,"7-day click",3.010584,111,51264.41,action_values:offsite_conversion.fb_pixel_purchase,7184,2.260171,1.868751,14668,6258,541,187,1773
2026-08-11,2026-09-09,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-09-09,"VD | Retargeting | DPA",active,82,actions:offsite_conversion.fb_pixel_purchase,113.97365854,370,Daily,9345.84,190941,38442,4.966989,48.946219,Ongoing,"7-day click",4.231628,82,39548.12,action_values:offsite_conversion.fb_pixel_purchase,4102,2.148308,2.000822,4397,3656,389,120,48
2026-08-11,2026-09-09,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-09-09,"VD | Broad | Awareness",active,486665,reach,10.03053435,196,Daily,4881.51,854267,486665,1.755349,5.714267,Ongoing,"7-day click or 1-day view",0.138611,1,,,693,0.081122,5.497196,5677,422,9,3,304
2026-08-11,2026-09-09,"VD | Sales | Trousers | DPA",active,21,actions:offsite_conversion.fb_pixel_purchase,169.00952381,174,Daily,3549.2,72872,23736,3.070104,48.704578,Ongoing,"7-day click or 1-day view",2.727739,21,9681.29,action_values:offsite_conversion.fb_pixel_purchase,1048,1.438138,2.483695,1071,907,97,33,2
2026-08-11,2026-09-09,"VD | Sales | Seasonal Best Sellers | DPA",active,62,actions:offsite_conversion.fb_pixel_purchase,64.03129032,506,Daily,3969.94,88605,28459,3.113426,44.804921,Ongoing,"7-day click or 1-day view",11.829552,62,46962.61,action_values:offsite_conversion.fb_pixel_purchase,1310,1.478472,2.407483,1453,1112,201,51,59
2026-08-11,2026-09-09,"AS - Prospecting Campaign JAN2023 - SALE - Copy",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"3/5 Veltuff - Prospecting Campaign - Sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"8/5 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"12/5 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"19/6 2023 - Sales collection video",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"23/6 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"11/10 2023 - Advantage+ shopping campaign Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-09-09,"4/12 2023 - Safety Shoe Sale  Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
