"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-07-31,2026-07-31,"VD | Broad | Awareness",active,12551,reach,7.15719863,100,Daily,89.83,13085,12551,1.042546,6.865113,Ongoing,"7-day click or 1-day view",,,,,13,0.09935,3.742917,41,11,1,,1
2026-07-31,2026-07-31,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-31,2026-07-31,"VD | Retargeting | DPA",active,2,actions:offsite_conversion.fb_pixel_purchase,177.8,375,Daily,355.6,7761,5184,1.497106,45.818838,Ongoing,"7-day click",4.080118,2,1450.89,action_values:offsite_conversion.fb_pixel_purchase,128,1.649272,2.324183,139,112,19,3,2
2026-07-31,2026-07-31,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-31,2026-07-31,"VD | Broad | Prospecting | Sales",active,5,actions:offsite_conversion.fb_pixel_purchase,217.158,820,Daily,1085.79,20910,14106,1.482348,51.926829,Ongoing,"7-day click",3.166662,5,3438.33,action_values:offsite_conversion.fb_pixel_purchase,325,1.55428,2.629031,2449,300,43,9,440
2026-07-31,2026-07-31,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-31,2026-07-31,"Ongoing | Sales | ProTex1 | Advantage+ | SH",inactive,,,,200,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,4,actions:offsite_conversion.fb_pixel_purchase,48.645,300,Daily,194.58,5125,3221,1.591121,37.966829,Ongoing,"7-day click or 1-day view",9.325522,4,1814.56,action_values:offsite_conversion.fb_pixel_purchase,92,1.795122,1.98551,98,86,14,4,
2026-07-31,2026-07-31,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"Customised Workwear | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"Ongoing | Retargeting | Sales | Dynamic Abandoned Cart - 30 Days | SH",inactive,,,,6.5,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-31,2026-07-31,"AS 7/1 25 - Purchase - Flexible ad Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"5/6 Michelle Job add - KAM Jylland",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"4/1 2024 - RM - UK Campaign",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-31,2026-07-31,"Ongoing | Prospecting | Sales | Broad | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"4/12 2023 - Safety Shoe Sale  Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"11/10 2023 - Advantage+ shopping campaign Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"19/7 2023 - MPA RM campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"11/7 2023 - Sales campaign Women - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"23/6 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"19/6 2023 - Sales collection video",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"12/5 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"8/5 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"3/5 Veltuff - Prospecting Campaign - Sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"11/4 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"28/3 Veltuff - Broad - custom - UK RM",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"23/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"17/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"AS - Prospecting Campaign JAN2023 - SALE - Copy",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"AS - Prospecting Campaign Dec2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"AS - RMKT - DEC 2022",inactive,,,,50,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-31,2026-07-31,"Website Retargeting - 2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"1-day click",,,,,,,0,,,,,
2026-07-30,2026-07-30,"VD | Broad | Awareness",active,15562,reach,5.65801311,100,Daily,88.05,15603,15562,1.002635,5.643146,Ongoing,"7-day click or 1-day view",,,,,17,0.108953,3.261111,49,9,,,1
2026-07-30,2026-07-30,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-30,2026-07-30,"VD | Retargeting | DPA",active,4,actions:offsite_conversion.fb_pixel_purchase,79.7625,375,Daily,319.05,7838,5398,1.452019,40.705537,Ongoing,"7-day click",7.326751,4,2337.6,action_values:offsite_conversion.fb_pixel_purchase,122,1.55652,2.246831,126,102,9,5,
2026-07-30,2026-07-30,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-30,2026-07-30,"VD | Broad | Prospecting | Sales",active,4,actions:offsite_conversion.fb_pixel_purchase,216.9375,820,Daily,867.75,19302,13210,1.461166,44.956481,Ongoing,"7-day click",1.689127,4,1465.74,action_values:offsite_conversion.fb_pixel_purchase,336,1.740752,2.036972,1675,272,19,9,282
2026-07-30,2026-07-30,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-07-30,2026-07-30,"Ongoing | Sales | ProTex1 | Advantage+ | SH",inactive,,,,200,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-07-30,2026-07-30,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,2,actions:offsite_conversion.fb_pixel_purchase,93.95,300,Daily,187.9,5171,3333,1.551455,36.337266,Ongoing,"7-day click or 1-day view",3.986801,2,749.12,action_values:offsite_conversion.fb_pixel_purchase,61,1.179656,2.684286,66,55,8,3,1
