"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-09-06,2026-09-06,"VD | Sales | Seasonal Best Sellers | DPA",active,2,actions:offsite_conversion.fb_pixel_purchase,105.41,506,Daily,210.82,4232,3088,1.370466,49.81569,Ongoing,"7-day click or 1-day view",2.918461,2,615.27,action_values:offsite_conversion.fb_pixel_purchase,78,1.8431,2.173402,79,74,4,1,
2026-09-06,2026-09-06,"VD | Sales | Trousers | DPA",active,1,actions:offsite_conversion.fb_pixel_purchase,204.9,174,Daily,204.9,4131,2631,1.570125,49.600581,Ongoing,"7-day click or 1-day view",2.713714,1,556.04,action_values:offsite_conversion.fb_pixel_purchase,57,1.379811,2.410588,58,48,3,2,
2026-09-06,2026-09-06,"VD | Broad | Awareness",active,29107,reach,8.09599066,196,Daily,235.65,35373,29107,1.215275,6.661861,Ongoing,"7-day click or 1-day view",,,,,8,0.022616,18.126923,475,7,,,44
2026-09-06,2026-09-06,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-06,2026-09-06,"VD | Retargeting | DPA",active,3,actions:offsite_conversion.fb_pixel_purchase,123.84,370,Daily,371.52,7435,3714,2.001885,49.969065,Ongoing,"7-day click",3.255087,3,1209.33,action_values:offsite_conversion.fb_pixel_purchase,181,2.434432,2.008216,190,166,7,3,2
2026-09-06,2026-09-06,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-06,2026-09-06,"VD | Broad | Prospecting | Sales",active,2,actions:offsite_conversion.fb_pixel_purchase,198.55,370,Daily,397.1,6749,4368,1.545101,58.838346,Ongoing,"7-day click",2.800302,2,1112,action_values:offsite_conversion.fb_pixel_purchase,194,2.8745,1.697009,213,178,26,7,6
2026-09-06,2026-09-06,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-06,2026-09-06,"Ongoing | Sales | ProTex1 | Advantage+ | SH",active,6,actions:offsite_conversion.fb_pixel_purchase,56.25,327,Daily,337.5,7054,5052,1.396279,47.845194,Ongoing,"7-day click or 1-day view",6.818104,6,2301.11,action_values:offsite_conversion.fb_pixel_purchase,119,1.686986,2.518657,120,113,8,3,
2026-09-06,2026-09-06,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,1,actions:offsite_conversion.fb_pixel_purchase,335.82,300,Daily,335.82,7481,4809,1.555625,44.889721,Ongoing,"7-day click or 1-day view",0.618992,1,207.87,action_values:offsite_conversion.fb_pixel_purchase,171,2.285791,1.815243,173,148,7,3,
2026-09-06,2026-09-06,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"Customised Workwear | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"Ongoing | Retargeting | Sales | Dynamic Abandoned Cart - 30 Days | SH",inactive,,,,6.5,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-06,2026-09-06,"AS 7/1 25 - Purchase - Flexible ad Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"5/6 Michelle Job add - KAM Jylland",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"4/1 2024 - RM - UK Campaign",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-06,2026-09-06,"Ongoing | Prospecting | Sales | Broad | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"4/12 2023 - Safety Shoe Sale  Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"11/10 2023 - Advantage+ shopping campaign Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"19/7 2023 - MPA RM campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"11/7 2023 - Sales campaign Women - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"23/6 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"19/6 2023 - Sales collection video",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"12/5 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"8/5 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"3/5 Veltuff - Prospecting Campaign - Sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"11/4 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"28/3 Veltuff - Broad - custom - UK RM",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"23/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"17/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"AS - Prospecting Campaign JAN2023 - SALE - Copy",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"AS - Prospecting Campaign Dec2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"AS - RMKT - DEC 2022",inactive,,,,50,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-06,2026-09-06,"Website Retargeting - 2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"1-day click",,,,,,,0,,,,,
2026-09-05,2026-09-05,"VD | Sales | Seasonal Best Sellers | DPA",active,7,actions:offsite_conversion.fb_pixel_purchase,21.74,506,Daily,152.18,3373,2595,1.299807,45.117106,Ongoing,"7-day click or 1-day view",34.319753,7,5222.78,action_values:offsite_conversion.fb_pixel_purchase,40,1.185888,3.237872,42,40,10,5,
2026-09-05,2026-09-05,"VD | Sales | Trousers | DPA",active,,,,174,Daily,159.35,3165,2132,1.484522,50.347551,Ongoing,"7-day click or 1-day view",,,,,35,1.105845,3.319792,35,27,4,,
2026-09-05,2026-09-05,"VD | Broad | Awareness",active,22904,reach,8.11517639,196,Daily,185.87,27282,22904,1.191146,6.812917,Ongoing,"7-day click or 1-day view",,,,,20,0.073308,6.884074,22,8,,,
2026-09-05,2026-09-05,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-05,2026-09-05,"VD | Retargeting | DPA",active,2,actions:offsite_conversion.fb_pixel_purchase,147.95,370,Daily,295.9,5808,2920,1.989041,50.94697,Ongoing,"7-day click",3.718351,2,1100.26,action_values:offsite_conversion.fb_pixel_purchase,119,2.048898,2.191852,123,106,8,3,
2026-09-05,2026-09-05,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-05,2026-09-05,"VD | Broad | Prospecting | Sales",active,3,actions:offsite_conversion.fb_pixel_purchase,97.98,370,Daily,293.94,4950,3354,1.47585,59.381818,Ongoing,"7-day click",3.309927,3,972.92,action_values:offsite_conversion.fb_pixel_purchase,151,3.050505,1.413173,176,141,6,2,6
2026-09-05,2026-09-05,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-05,2026-09-05,"Ongoing | Sales | ProTex1 | Advantage+ | SH",active,8,actions:offsite_conversion.fb_pixel_purchase,36.0925,327,Daily,288.74,6082,4164,1.460615,47.474515,Ongoing,"7-day click or 1-day view",17.709704,8,5113.5,action_values:offsite_conversion.fb_pixel_purchase,109,1.792174,2.30992,110,102,11,4,
2026-09-05,2026-09-05,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,5,actions:offsite_conversion.fb_pixel_purchase,49.198,300,Daily,245.99,5161,3685,1.400543,47.663244,Ongoing,"7-day click or 1-day view",9.027399,5,2220.65,action_values:offsite_conversion.fb_pixel_purchase,114,2.208874,1.906899,117,104,13,5,
2026-09-05,2026-09-05,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"Customised Workwear | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"Ongoing | Retargeting | Sales | Dynamic Abandoned Cart - 30 Days | SH",inactive,,,,6.5,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-05,2026-09-05,"AS 7/1 25 - Purchase - Flexible ad Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"5/6 Michelle Job add - KAM Jylland",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"4/1 2024 - RM - UK Campaign",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-05,2026-09-05,"Ongoing | Prospecting | Sales | Broad | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"4/12 2023 - Safety Shoe Sale  Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"11/10 2023 - Advantage+ shopping campaign Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"19/7 2023 - MPA RM campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"11/7 2023 - Sales campaign Women - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"23/6 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"19/6 2023 - Sales collection video",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"12/5 2023 - Sales campaign - UK MPA",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"8/5 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"3/5 Veltuff - Prospecting Campaign - Sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"11/4 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"28/3 Veltuff - Broad - custom - UK RM",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"23/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"17/3 Veltuff - Broad - custom - UK sales",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"AS - Prospecting Campaign JAN2023 - SALE - Copy",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"AS - Prospecting Campaign Dec2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"AS - RMKT - DEC 2022",inactive,,,,50,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-05,2026-09-05,"Website Retargeting - 2022",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"1-day click",,,,,,,0,,,,,
2026-09-04,2026-09-04,"VD | Sales | Seasonal Best Sellers | DPA",active,7,actions:offsite_conversion.fb_pixel_purchase,28.76857143,506,Daily,201.38,4301,3184,1.350817,46.821669,Ongoing,"7-day click or 1-day view",10.738256,7,2162.47,action_values:offsite_conversion.fb_pixel_purchase,88,2.046036,1.974314,91,79,19,4,2
2026-09-04,2026-09-04,"VD | Sales | Trousers | DPA",active,,,,174,Daily,189.37,4028,2541,1.585203,47.013406,Ongoing,"7-day click or 1-day view",,,,,38,0.943396,4.116739,38,27,,,
2026-09-04,2026-09-04,"VD | Broad | Awareness",active,22228,reach,7.78207666,196,Daily,172.98,25985,22228,1.169021,6.656917,Ongoing,"7-day click or 1-day view",,,,,14,0.053877,8.237143,43,6,,,2
2026-09-04,2026-09-04,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-04,2026-09-04,"VD | Retargeting | DPA",active,2,actions:offsite_conversion.fb_pixel_purchase,179.22,370,Daily,358.44,7459,3774,1.976418,48.054699,Ongoing,"7-day click",0.847338,2,303.72,action_values:offsite_conversion.fb_pixel_purchase,204,2.734951,1.518814,210,192,15,5,
2026-09-04,2026-09-04,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-04,2026-09-04,"VD | Broad | Prospecting | Sales",active,2,actions:offsite_conversion.fb_pixel_purchase,165.31,370,Daily,330.62,6392,4418,1.446809,51.72403,Ongoing,"7-day click",2.281471,2,754.3,action_values:offsite_conversion.fb_pixel_purchase,166,2.596996,1.475982,204,150,10,2,14
2026-09-04,2026-09-04,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-09-04,2026-09-04,"Ongoing | Sales | ProTex1 | Advantage+ | SH",active,2,actions:offsite_conversion.fb_pixel_purchase,164.26,327,Daily,328.52,8056,5772,1.395703,40.779543,Ongoing,"7-day click or 1-day view",5.207476,2,1710.76,action_values:offsite_conversion.fb_pixel_purchase,130,1.613704,2.119484,133,110,14,4,
2026-09-04,2026-09-04,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,1,actions:offsite_conversion.fb_pixel_purchase,265.1,300,Daily,265.1,6084,4309,1.411929,43.573307,Ongoing,"7-day click or 1-day view",,1,,,123,2.021696,1.853846,128,104,5,1,
2026-09-04,2026-09-04,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-09-04,2026-09-04,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
